iter	Passed	Remaining
399	35425	53137
400	35519	53057
401	35605	52966
402	35692	52875
403	35787	52795
404	35872	52701
405	35964	52617
406	36055	52532
407	36140	52438
408	36222	52341
409	36309	52250
410	36395	52157
411	36482	52066
412	36579	51990
413	36668	51902
414	36763	51822
415	36861	51747
416	36948	51657
417	37037	51568
418	37122	51474
419	37210	51386
420	37305	51306
421	37389	51211
422	37477	51121
423	37567	51035
424	37656	50947
425	37740	50852
426	37828	50763
427	37919	50677
428	38003	50582
429	38091	50493
430	38186	50413
431	38271	50320
432	38358	50229
433	38450	50145
434	38535	50051
435	38622	49961
436	38714	49877
437	38799	49784
438	38882	49688
439	38974	49603
440	39056	49507
441	39142	49414
442	39230	49325
443	39314	49231
444	39405	49146
445	39493	49057
446	39581	48967
447	39665	48874
448	39754	48785
449	39840	48693
450	39923	48598
451	40011	48509
452	40098	48418
453	40181	48324
454	40271	48237
455	40355	48142
456	40437	48047
457	40529	47962
458	40618	47875
459	40708	47787
460	40799	47702
461	40882	47607
462	40968	47516
463	41086	47462
464	41178	47377
465	41266	47288
466	41353	47197
467	41440	47107
468	41531	47021
469	41623	46936
470	41714	46850
471	41804	46763
472	41891	46674
473	41980	46586
474	42076	46505
475	42181	46434
476	42281	46358
477	42374	46275
478	42464	46187
479	42558	46105
480	42663	46034
481	42757	45951
482	42840	45856
483	42929	45767
484	43015	45676
485	43108	45591
486	43194	45500
487	43277	45406
488	43370	45321
489	43454	45227
490	43541	45138
491	43631	45050
492	43721	44962
493	43807	44871
494	43894	44781
495	43977	44686
496	44066	44598
497	44161	44516
498	44251	44429
499	44342	44342
500	44426	44249
501	44513	44158
502	44598	44066
503	44690	43981
504	44773	43887
505	44858	43795
506	44948	43707
507	45032	43613
508	45114	43518
509	45204	43431
510	45289	43339
511	45381	43254
512	45469	43165
513	45555	43073
514	45640	42981
515	45730	42894
516	45814	42801
517	45897	42708
518	45991	42623
519	46076	42531
520	46157	42436
521	46248	42349
522	46330	42255
523	46415	42163
524	46499	42071
525	46584	41979
526	46668	41886
527	46756	41797
528	46838	41702
529	46921	41609
530	47010	41521
531	47093	41428
532	47180	41338
533	47272	41252
534	47355	41159
535	47437	41065
536	47525	40976
537	47611	40885
538	47697	40795
539	47785	40706
540	47872	40616
541	47959	40526
542	48048	40439
543	48134	40348
544	48222	40259
545	48312	40172
546	48397	40080
547	48479	39986
548	48568	39898
549	48653	39807
550	48738	39716
551	48829	39630
552	48913	39537
553	49001	39448
554	49088	39358
555	49173	39267
556	49256	39175
557	49350	39090
558	49432	38997
559	49516	38905
560	49607	38819
561	49690	38726
562	49775	38635
563	49867	38549
564	49953	38459
565	50038	38368
566	50127	38280
567	50214	38191
568	50305	38104
569	50388	38012
570	50474	37922
571	50570	37839
572	50654	37747
573	50738	37656
574	50829	37569
575	50918	37481
576	51003	37390
577	51093	37303
578	51183	37216
579	51265	37123
580	51356	37037
581	51443	36947
582	51526	36855
583	51614	36766
584	51700	36676
